CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax
AR900,九方网络有限公司虚拟现实,张玉,运营总监,广西壮族自治区沈阳县长寿李路G座 793897,桂珍县,山东省,636686,中国,15688617609,15912467990
AW592,精芯网络有限公司科技公司,田丽华,项目经理,山西省昆明县安次丁街N座 951557,潜江市,浙江省,415659,中国,15826779380,13709411892
BD931,济南亿次元传媒有限公司网络安全,倪玲,总经理,上海市齐齐哈尔县萧山马街d座 760327,梧州县,广东省,901854,中国,14591633804,13959716941
BX334,和泰传媒有限公司生物科技,张彬,采购总监,湖北省沈阳县海港卢路s座 570335,惠州市,海南省,798547,中国,13850599972,14544573938
DL852,联通时科传媒有限公司科技公司,陈洋,CTO,重庆市齐齐哈尔市东城沈阳街b座 655692,秀珍市,西藏自治区,781333,中国,14536873597,
EB601,快讯传媒有限公司金融科技,康军,采购经理,黑龙江省郑州市清城巢湖路F座 384882,建华县,吉林省,365349,中国,18957839799,18041144208
FK682,四通网络有限公司区块链技术,钟强,采购总监,西藏自治区六盘水市崇文王街g座 188008,俊市,台湾省,766811,中国,18203842292,15023192309
GB755,惠派国际公司科技有限公司科技公司,周刚,CTO,北京市武汉市崇文谢路E座 559917,丽县,辽宁省,348820,中国,13738835797,18897476252
HX442,浙大万朋网络有限公司云计算,徐想,采购总监,宁夏回族自治区秀英县魏都辛集街C座 193837,华市,天津市,731852,中国,18621118940,13210100019
KX899,华成育卓科技有限公司金融科技,蔡凤英,运营总监,山东省桂芝县大兴北镇路T座 441587,郑州县,西藏自治区,172290,中国,18716851523,13341098263
LJ915,恩悌信息有限公司人工智能,史华,运营总监,江西省天津市海陵王路U座 417494,郑州市,澳门特别行政区,968168,中国,18603268678,14599011124
MQ931,彩虹网络有限公司移动应用开发,王军,项目经理,山东省东莞市山亭孙路d座 870495,磊县,湖南省,914182,中国,13007286967,13334048610
NQ316,时空盒数字科技有限公司金融科技,傅秀芳,项目经理,香港特别行政区莉市萧山六安路Q座 439540,瑞县,江苏省,837261,中国,15607275916,13327309639
NT795,襄樊地球村信息有限公司区块链技术,邵玉华,总经理,重庆市澳门县普陀济南路u座 690983,海口县,天津市,108248,中国,18788106870,15131165267
OG011,泰麒麟信息有限公司区块链技术,王建华,总经理,青海省柳州市永川王路s座 585345,红县,宁夏回族自治区,835034,中国,18079423261,
PE225,襄樊地球村传媒有限公司人工智能,陈小红,总经理,云南省晶市丰都昆明街z座 681392,玉英县,青海省,453390,中国,13878053138,18806731396
RK031,联软科技有限公司生物科技,阎雪,采购经理,江苏省海燕县沈河拉萨街A座 612361,郑州市,浙江省,347536,中国,15076052889,13279684447
UR433,海创网络有限公司信息技术,董莉,采购总监,云南省凤英县海陵颜路g座 987413,通辽县,香港特别行政区,194763,中国,14705589126,
VJ733,联软科技有限公司区块链技术,刘磊,总经理,四川省西安市萧山阎街c座 428016,伟市,山东省,563568,中国,15561390917,15504382425
YS535,天开信息有限公司科技公司,周林,运营总监,新疆维吾尔自治区桂荣市淄川北镇路U座 296866,拉萨县,吉林省,981082,中国,15078291108,18253551031
